KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
SN7WNW,Mobil ,2022,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN,KPKNL Kendari,3,3,Toyota,Hartop,1978,Biru,2500000
OYZURV,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 42 Short,1995,Biru,18567890
1UEBGC,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJAR BARU,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 40 Short,1990,Silver Metalik,11223344
TC72SW,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 40 Short,1993,Abu - abu Metalik,23456789
DZPSP1,Motor ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Kaisar,Triseda,2009,Ungu,5700351
FNPP8A,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 70 Short,2001,Hijau Metalik,36789100
WA72QD,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Yamaha,YT 115 cc,2006,Hijau Metalik,3800100
ZJ14UJ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3897000
FWQBPF,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Ford,Double Cabin Base 2.5 L,2010,Hijau Metalik,55555555
9JT7PY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3755000
DXUMWV,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Mitsubishi,Srada M.DC.L 200,2006,Hijau Metalik,48987000
M3SKUY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Yamaha,YT 115 cc,2006,Hijau Metalik,3900000
FL3WD4,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3789000
MWUJUP,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Suzuki,A 100,1996,Merah,850000
WHKG5R,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Kawasaki,AN 112 D,2004,Hitam,1310000
DGJ2RF,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Honda,NF 125,2005,Hitam,2500000
8YKKPI,Mobil ,2022,SULAWESI UTARA,KOTA MANADO,KPKNL Manado,3,3,Isuzu,Bus 4570 cc,2006,Biru,31700000
HPBBQO,Motor ,2022,KALIMANTAN BARAT,KOTA PONTIANAK,KPKNL Pontianak,3,3,Honda,GX Max,1997,Stone Grey,5820000
XLBEYZ,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SL,2007,Hitam Orange,4879000
